,NCAV,Name,P/E,Ticker,currentPrice,earnings,floatShares,marketCap,revenue,sector,totalCurrentAssets,totalDebt
8000,5.855636896683718,Mercantile Bankshares Corp,5.403628270338626,MRBK,31.4483,35585000.0,3678336.0,192288112.0,150029000.0,Financial Services,111519000.0,89980000.0
8001,4.704074297322351,MRC Global Inc,-67.86016457142857,MRC,11.38,-14000000.0,80143292.0,950042304.0,2666000000.0,Energy,899000000.0,522000000.0
8002,4.704074297322351,Maxwell Resources Inc,-67.86016457142857,MRC,11.38,-14000000.0,80143292.0,950042304.0,2666000000.0,Energy,899000000.0,522000000.0
8003,,Monroe Capital Corp,6.781773930188853,MRCC,10.16,32459000.0,,220129600.0,53830000.0,Financial Services,28338000.0,314145984.0
8004,,Merculite Distributing Inc,,MRCD,,,,,,,,
8005,,Moro Corp,,MRCR,1.345,,,10937500.0,,Industrials,,7914639.0
8006,2.436969470353057,Mercury Systems Inc,53.39353594223454,MRCY,57.44,62044000.0,47801994.0,3312748544.0,923996000.0,Industrials,643100000.0,526608000.0
8007,,Macdermid Inc,,MRD,,,,,,,,
8008,,Miracor Diagnostics Inc,,MRDG,,,,,,,,
8009,,Meridian Holdings Inc,,MRDH,0.03,,,29364.0,,Industrials,,218266.0
8010,,Mainstreet Bankshares Inc,,MREE,,,,,,,,
8011,2.0541167958325635,Mirenco Inc,4.458777524557957,MREO,0.521,12725000.0,40193917.0,56737944.0,36464000.0,Healthcare,99323000.0,16760000.0
8012,,American Income Fund Inc,,MRF,,,,,,,,
8013,,American Income Fund Inc,,MRF,,,,,,,,
8014,,Morgans Foods Inc,,MRFD,,,,,,,,
8015,-0.0010370133918841135,Merge Healthcare Inc,-0.17039283295363586,MRGE,0.0015,-4222660.0,259760387.0,719511.0,0.0,Energy,149577.0,418952.0
8016,,Neotactix Corp,,MRGG,,,,,,,,
8017,,Margo Caribe Inc,,MRGO,7.5,,,1694887.0,,Consumer Cyclical,,
8018,,Mercer Gold Corp,,MRGP,,,,,,,,
8019,,Montpelier Re Holdings LTD,,MRH,,,,,,,,
8020,,Mcrae Industries Inc,,MRI,,,,,,,,
8021,,Marani Brands Inc,,MRIB,,,,,,,,
8022,,Mri Interventions Inc,,MRIC,,,,,,,,
8023,3.2224474226079494,Marin Software Inc,-2.513445457354759,MRIN,2.1,-12944000.0,15109013.0,32534038.0,24420000.0,Technology,54014000.0,5326000.0
8024,-1.7289873324590306,Merck Sharp & Dohme Corp,18.01781715073952,MRK,93.08,13049000000.0,2524599216.0,235114496000.0,48704000000.0,Healthcare,30266000000.0,34631000064.0
8025,-1.7289873324590306,Merck & Co Inc,18.01781715073952,MRK,93.08,13049000000.0,2524599216.0,235114496000.0,48704000000.0,Healthcare,30266000000.0,34631000064.0
8026,,Markland Technologies Inc,,MRKL,,,,,,,,
8027,,Marlin Business Services Corp,,MRLN,,,,,,,,
8028,,Merrimac Industries Inc,,MRM,6.54,,2110559.0,31931550.0,,Consumer Cyclical,,2517373952.0
8029,,MR3 Systems Inc,,MRMR,,,,,,,,
8030,,Medical Staffing Network Holdings Inc,,MRN,,,,,,,,
8031,-3.3903278672576214,Marathon Oil Corp,25.569920811839324,MRO,31.07,946000000.0,675745854.0,24189145088.0,5616000000.0,Energy,1821000000.0,4112000000.0
8032,,Monroe Bancorp,,MROE,,,,,,,,
8033,,Mro Software Inc,,MROI,,,,,,,,
8034,,Mid Atlantic Realty Trust,,MRR,,,,,,,,
8035,,Marisa Christina Inc,,MRSA,,,,,,,,
8036,,Mortons Restaurant Group Inc,,MRT,,,,,,,,
8037,,Maxus Realty Trust Inc,,MRTI,249.99,,,19791458.0,,Real Estate,,189383008.0
8038,3.203415007630154,Marten Transport LTD,16.981195486257434,MRTN,17.49,85428000.0,58254394.0,1450669568.0,973644000.0,Industrials,186949000.0,336000.0
8039,38.300782734250326,Mirati Therapeutics Inc,-3.7816230903565584,MRTX,39.81,-581784000.0,38174259.0,2200087808.0,72092000.0,Healthcare,1507983000.0,45879000.0
8040,,MRV Communications Inc,,MRVC,,,,,,,,
8041,-2.6504463103362528,West Florida Natural Gas Co,-185.0713474168584,MRVL,60.82,-277298000.0,842509728.0,51319914496.0,2968900000.0,Technology,2493450000.0,4726476800.0
8042,-2.6504463103362528,Marvell Technology Group LTD,-185.0713474168584,MRVL,60.82,-277298000.0,842509728.0,51319914496.0,2968900000.0,Technology,2493450000.0,4726476800.0
8043,,Miravant Medical Technologies,,MRVT,0.003,,,94641.0,,Healthcare,,10428000.0
8044,,Mid State Raceway Inc,,MRWY,,,,,,,,
8045,,Medicis Pharmaceutical Corp,,MRX,,,,,,,,
8046,,Capital Financial Global Inc,,MRXT,,,,,,,,
8047,,Memry Corp,,MRY,,,,,,,,
8048,,Merry Land Properties Inc,,MRYP,,,,,,,,
8049,439.56699889907253,Milestone Scientific Inc,10.058883456698151,MS,86.45,15034000000.0,1367677742.0,151225253888.0,59755000000.0,Financial Services,956458000000.0,355271999488.0
8050,439.56699889907253,Morgan Stanley,10.058883456698151,MS,86.45,15034000000.0,1367677742.0,151225253888.0,59755000000.0,Financial Services,956458000000.0,355271999488.0
8051,4.160578114852085,Mine Safety Appliances Co,238.6328832239925,MSA,129.46,21340000.0,36814830.0,5092425728.0,1400182000.0,Industrials,792804000.0,639633024.0
8052,,Man Shing Agricultural Holdings Inc,,MSAH,0.01,,,2411350.0,,Consumer Defensive,,3455528.0
8053,4.112401856672069,Mesabi Trust,15.632361509894608,MSB,27.89,23407647.0,13109908.0,365916800.0,25950567.0,Basic Materials,53913210.0,0.0
8054,,MSB Financial Corp,,MSBF,,,,,,,,
8055,,Main Street Banks Inc,,MSBK,,,,,,,,
8056,,Microsemi Corp,,MSCC,,,,,,,,
8057,-27.745866307287237,Msci Inc,50.89669989517661,MSCI,448.17,725983000.0,78641489.0,36950138880.0,2043544000.0,Financial Services,2143410000.0,4325386240.0
8058,,Morgan Stanley Emerging Markets Debt Fund Inc,,MSD,7.24,,,147599696.0,,Financial Services,,3794000.0
8059,,Mesquite Mining Inc,,MSEH,,,,,,,,
8060,,Merisel Inc,,MSEL,,,,,,,,
8061,,International Building Technologies Group Inc,,MSEP,,,,,,,,
8062,,Micron Enviro Systems Inc,,MSEV,,,,,,,,
8063,-17.351980848372495,Middlesex Water Co,41.842630106997234,MSEX,87.08,36543000.0,17218380.0,1529055232.0,143141000.0,Utilities,34355000.0,333128000.0
8064,,Morgan Stanley Emerging Markets Fund Inc,,MSF,,,,,,,,
8065,,Aip Multi-strategy Fund P,,MSF,,,,,,,,
8066,,Aip Multi-strategy Fund A,,MSF,,,,,,,,
8067,,Mainsource Financial Group,,MSFG,,,,,,,,
8068,14.243454277536179,Microsoft Corp,33.352973324150085,MSFT,273.24,61271000000.0,7471853263.0,2043570028544.0,168088000000.0,Technology,184406000000.0,77980999680.0
8069,,Madison Square Garden Co,,MSG,,,,,,,,
8070,,Msgi Technology Solutions Inc,,MSGI,,,,,,,,
8071,,Mediashift Inc,,MSHF,,,,,,,,
8072,,Man Sang Holdings Inc,,MSHI,,,,,,,,
8073,,Msti Holdings Inc,,MSHI,,,,,,,,
8074,,Mei Pharma Inc,,MSHL,,,,,,,,
8075,,MGT Capital Investments Inc,,MSHT,,,,,,,,
8076,-4.22076248509389,Motorola Solutions Inc,29.966987412048194,MSI,223.01,1245000000.0,166557538.0,37308899328.0,8171000000.0,Technology,5412000000.0,6114999808.0
8077,,Medistaff Corp,,MSIF,,,,,,,,
8078,,Media Sciences International Inc,,MSII,,,,,,,,
8079,,Muskoka Flooring Corp,,MSKA,,,,,,,,
8080,,Midsouth Bancorp Inc,,MSL,,,,,,,,
8081,,Manufacturers Services LTD,,MSL,,,,,,,,
8082,-0.947701537585463,Musclepharm Corp,-0.4845581377273434,MSLP,0.1815,-12866000.0,12317169.0,6234325.0,50042000.0,Consumer Defensive,10967000.0,22640000.0
8083,,Metasolv Inc,,MSLV,,,,,,,,
8084,9.198279796995074,MSC Industrial Direct Co Inc,21.942030307919985,MSM,85.23,216907000.0,46309418.0,4759379968.0,3243224000.0,Industrials,1314245000.0,888278016.0
8085,,Millstream II Acquisition Corp,,MSMAU,,,,,,,,
8086,,Medical Solutions Management Inc,,MSMT,,,,,,,,
